MB,t,tsq,Day of Week_1,Day of Week_2,Day of Week_3,Day of Week_4,Day of Week_5,Day of Week_6
7501.747391,55,3025,0,1,0,0,0,0
7767.857531,56,3136,0,1,0,0,0,0
7232.609101,57,3249,0,1,0,0,0,0
7274.338276,58,3364,0,1,0,0,0,0
7408.981176,59,3481,0,1,0,0,0,0
7230.742271,60,3600,0,1,0,0,0,0
7354.167649,61,3721,0,1,0,0,0,0
7107.897687,62,3844,0,1,0,0,0,0
7295.721127,63,3969,0,1,0,0,0,0
7080.999121,64,4096,0,1,0,0,0,0
7606.453644,65,4225,0,1,0,0,0,0
7642.015997,66,4356,0,1,0,0,0,0
7848.884725,67,4489,0,1,0,0,0,0
7724.196995,68,4624,0,1,0,0,0,0
7650.962743,69,4761,0,1,0,0,0,0
7753.904748,70,4900,0,1,0,0,0,0
7744.009419,71,5041,0,1,0,0,0,0
7336.903262,72,5184,0,1,0,0,0,0
7485.654677,73,5329,0,1,0,0,0,0
7513.611244,74,5476,0,1,0,0,0,0
7644.185813,75,5625,0,1,0,0,0,0
7414.962086,76,5776,0,1,0,0,0,0
7514.644125,77,5929,0,1,0,0,0,0
7445.178236,78,6084,0,1,0,0,0,0
7294.385873,79,6241,0,1,0,0,0,0
7233.354647,80,6400,0,1,0,0,0,0
7332.941859,81,6561,0,1,0,0,0,0
7513.492139,82,6724,0,1,0,0,0,0
7528.727688,83,6889,0,1,0,0,0,0
8536.272286,84,7056,0,1,0,0,0,0
7724.842582,85,7225,0,1,0,0,0,0
7599.001549,86,7396,0,1,0,0,0,0
7348.468015,87,7569,0,1,0,0,0,0
7326.3272,88,7744,0,1,0,0,0,0
7639.50667,89,7921,0,1,0,0,0,0
7802.449354,90,8100,0,1,0,0,0,0
7485.672218,91,8281,0,1,0,0,0,0
7354.957743,92,8464,0,1,0,0,0,0
7497.015314,93,8649,0,1,0,0,0,0
7235.630142,94,8836,0,1,0,0,0,0
7434.386233,95,9025,0,1,0,0,0,0
7519.403839,96,9216,0,1,0,0,0,0
7403.087775,97,9409,0,1,0,0,0,0
7366.791574,98,9604,0,1,0,0,0,0
7577.678754,99,9801,0,1,0,0,0,0
7326.68721,100,10000,0,1,0,0,0,0
7259.778835,101,10201,0,1,0,0,0,0
7499.146875,102,10404,0,1,0,0,0,0
7530.74579,103,10609,0,1,0,0,0,0
7054.149566,104,10816,0,1,0,0,0,0
7134.469847,105,11025,0,1,0,0,0,0
7081.949563,106,11236,0,1,0,0,0,0
6953.665837,107,11449,0,1,0,0,0,0
7023.590624,108,11664,0,1,0,0,0,0
6759.900139,109,11881,0,1,0,0,0,0
6530.131152,110,12100,0,1,0,0,0,0
6447.105457,111,12321,0,1,0,0,0,0
6330.514608,112,12544,0,1,0,0,0,0
6331.684427,113,12769,0,1,0,0,0,0
6223.271197,114,12996,0,1,0,0,0,0
6202.872405,115,13225,0,1,0,0,0,0
5914.776765,116,13456,0,1,0,0,0,0
5917.454777,117,13689,0,1,0,0,0,0
5921.237644,118,13924,0,1,0,0,0,0
5640.499083,119,14161,0,1,0,0,0,0
5391.187185,120,14400,0,1,0,0,0,0
5349.731374,121,14641,0,1,0,0,0,0
5306.831763,122,14884,0,1,0,0,0,0
4924.258813,123,15129,0,1,0,0,0,0
4870.140499,124,15376,0,1,0,0,0,0
5051.888264,125,15625,0,1,0,0,0,0
4936.297774,126,15876,0,1,0,0,0,0
4670.716971,127,16129,0,1,0,0,0,0
4336.637893,128,16384,0,1,0,0,0,0
4315.527574,129,16641,0,1,0,0,0,0
4234.212594,130,16900,0,1,0,0,0,0
4403.446516,131,17161,0,1,0,0,0,0
4295.636203,132,17424,0,1,0,0,0,0
4158.312131,133,17689,0,1,0,0,0,0
3994.767281,134,17956,0,1,0,0,0,0
3981.376101,135,18225,0,1,0,0,0,0
4103.194285,136,18496,0,1,0,0,0,0
4191.264851,137,18769,0,1,0,0,0,0
4107.663994,138,19044,0,1,0,0,0,0
3950.115059,139,19321,0,1,0,0,0,0
3884.135336,140,19600,0,1,0,0,0,0
4106.26781,141,19881,0,1,0,0,0,0
3873.014865,142,20164,0,1,0,0,0,0
3987.571377,143,20449,0,1,0,0,0,0
3772.918776,144,20736,0,1,0,0,0,0
3967.867664,145,21025,0,1,0,0,0,0
3768.411435,146,21316,0,1,0,0,0,0
3524.927741,147,21609,0,1,0,0,0,0
3533.644824,148,21904,0,1,0,0,0,0
3611.084551,149,22201,0,1,0,0,0,0
3718.716907,150,22500,0,1,0,0,0,0
3622.619626,151,22801,0,1,0,0,0,0
3649.115438,152,23104,0,1,0,0,0,0
3824.052475,153,23409,0,1,0,0,0,0
3802.783518,154,23716,0,1,0,0,0,0
3724.816224,155,24025,0,1,0,0,0,0
3658.838363,156,24336,0,1,0,0,0,0
3634.119585,157,24649,0,1,0,0,0,0
3625.261928,158,24964,0,1,0,0,0,0
3670.661268,159,25281,0,1,0,0,0,0
3569.002593,160,25600,0,1,0,0,0,0
3704.10306,161,25921,0,1,0,0,0,0
3600.959582,162,26244,0,1,0,0,0,0
3540.508801,163,26569,0,1,0,0,0,0
3530.136362,164,26896,0,1,0,0,0,0
3586.244712,165,27225,0,1,0,0,0,0
3580.008115,166,27556,0,1,0,0,0,0
3518.283866,167,27889,0,1,0,0,0,0
3490.909198,168,28224,0,1,0,0,0,0
3273.634716,169,28561,0,1,0,0,0,0
3220.012819,170,28900,0,1,0,0,0,0
3268.927551,171,29241,0,1,0,0,0,0
3165.384774,172,29584,0,1,0,0,0,0
3201.339313,173,29929,0,1,0,0,0,0
3168.450654,174,30276,0,1,0,0,0,0
3036.703512,175,30625,0,1,0,0,0,0
2999.785689,176,30976,0,1,0,0,0,0
2931.96953,177,31329,0,1,0,0,0,0
3063.506195,178,31684,0,1,0,0,0,0
2874.825851,179,32041,0,1,0,0,0,0
2756.967891,180,32400,0,1,0,0,0,0
2746.056942,181,32761,0,1,0,0,0,0
2710.922432,182,33124,0,1,0,0,0,0
2687.775945,183,33489,0,1,0,0,0,0
2750.878241,184,33856,0,1,0,0,0,0
2654.607198,185,34225,0,1,0,0,0,0
2649.790823,186,34596,0,1,0,0,0,0
2561.522102,187,34969,0,1,0,0,0,0
2622.232533,188,35344,0,1,0,0,0,0
2569.332246,189,35721,0,1,0,0,0,0
2900.771417,190,36100,0,1,0,0,0,0
2362.620888,191,36481,0,1,0,0,0,0
2338.511945,192,36864,0,1,0,0,0,0
2346.308954,193,37249,0,1,0,0,0,0
2485.275798,194,37636,0,1,0,0,0,0
2383.711038,195,38025,0,1,0,0,0,0
2352.537359,196,38416,0,1,0,0,0,0
2438.498778,197,38809,0,1,0,0,0,0
2387.348189,198,39204,0,1,0,0,0,0
2136.407019,199,39601,0,1,0,0,0,0
2105.109648,200,40000,0,1,0,0,0,0
2108.515945,201,40401,0,1,0,0,0,0
2361.817024,202,40804,0,1,0,0,0,0
2145.37985,203,41209,0,1,0,0,0,0
2216.433223,204,41616,0,1,0,0,0,0
2205.983887,205,42025,0,0,1,0,0,0
2125.875017,206,42436,0,0,1,0,0,0
2386.775906,207,42849,0,0,1,0,0,0
2242.831948,208,43264,0,0,1,0,0,0
2154.930604,209,43681,0,0,1,0,0,0
2106.550611,210,44100,0,0,1,0,0,0
2048.932841,211,44521,0,0,1,0,0,0
2072.852739,212,44944,0,0,1,0,0,0
2146.743453,213,45369,0,0,1,0,0,0
1898.012332,214,45796,0,0,1,0,0,0
1805.834137,215,46225,0,0,1,0,0,0
1846.50909,216,46656,0,0,1,0,0,0
1819.926546,217,47089,0,0,1,0,0,0
1734.400487,218,47524,0,0,1,0,0,0
1785.433036,219,47961,0,0,1,0,0,0
1733.610241,220,48400,0,0,1,0,0,0
1694.38406,221,48841,0,0,1,0,0,0
1701.288588,222,49284,0,0,1,0,0,0
1722.159905,223,49729,0,0,1,0,0,0
1706.410228,224,50176,0,0,1,0,0,0
2015.585016,225,50625,0,0,1,0,0,0
1795.574327,226,51076,0,0,1,0,0,0
1780.259206,227,51529,0,0,1,0,0,0
1671.931744,228,51984,0,0,1,0,0,0
1679.005182,229,52441,0,0,1,0,0,0
1668.891063,230,52900,0,0,1,0,0,0
1728.025343,231,53361,0,0,1,0,0,0
1723.17918,232,53824,0,0,1,0,0,0
1637.898222,233,54289,0,0,1,0,0,0
1595.363849,234,54756,0,0,1,0,0,0
1617.476695,235,55225,0,0,1,0,0,0
1629.195853,236,55696,0,0,1,0,0,0
1845.312155,237,56169,0,0,1,0,0,0
1649.332044,238,56644,0,0,1,0,0,0
1547.267504,239,57121,0,0,1,0,0,0
1499.41174,240,57600,0,0,1,0,0,0
1459.317981,241,58081,0,0,1,0,0,0
1447.949146,242,58564,0,0,1,0,0,0
1599.031982,243,59049,0,0,1,0,0,0
1555.38996,244,59536,0,0,1,0,0,0
1726.665812,245,60025,0,0,1,0,0,0
1560.596693,246,60516,0,0,1,0,0,0
1487.551813,247,61009,0,0,1,0,0,0
1506.83586,248,61504,0,0,1,0,0,0
1814.598605,249,62001,0,0,1,0,0,0
1675.097503,250,62500,0,0,1,0,0,0
1649.725627,251,63001,0,0,1,0,0,0
1605.411867,252,63504,0,0,1,0,0,0
1631.462039,253,64009,0,0,1,0,0,0
1794.111915,254,64516,0,0,1,0,0,0
2064.64433,255,65025,0,0,1,0,0,0
1805.560623,256,65536,0,0,1,0,0,0
1639.043272,257,66049,0,0,1,0,0,0
1675.169871,258,66564,0,0,1,0,0,0
1786.003377,259,67081,0,0,1,0,0,0
2313.753829,260,67600,0,0,1,0,0,0
2733.271598,261,68121,0,0,1,0,0,0
1999.096513,262,68644,0,0,1,0,0,0
1911.255872,263,69169,0,0,1,0,0,0
1850.724767,264,69696,0,0,1,0,0,0
1844.343109,265,70225,0,0,1,0,0,0
1891.90088,266,70756,0,0,1,0,0,0
2071.743151,267,71289,0,0,1,0,0,0
1917.291872,268,71824,0,0,1,0,0,0
1920.241635,269,72361,0,0,1,0,0,0
2028.928664,270,72900,0,0,1,0,0,0
2192.637441,271,73441,0,0,1,0,0,0
2553.091807,272,73984,0,0,1,0,0,0
2554.968485,273,74529,0,0,1,0,0,0
2391.627246,274,75076,0,0,1,0,0,0
2455.430601,275,75625,0,0,1,0,0,0
2468.010209,276,76176,0,0,1,0,0,0
2650.808208,277,76729,0,0,1,0,0,0
2781.247406,278,77284,0,0,1,0,0,0
2848.338243,279,77841,0,0,1,0,0,0
2931.929285,280,78400,0,0,1,0,0,0
2971.844719,281,78961,0,0,1,0,0,0
3189.909175,282,79524,0,0,1,0,0,0
3452.214549,283,80089,0,0,1,0,0,0
4205.761408,284,80656,0,0,1,0,0,0
4264.799773,285,81225,0,0,1,0,0,0
4151.264837,286,81796,0,0,1,0,0,0
4393.686561,287,82369,0,0,1,0,0,0
4538.893522,288,82944,0,0,1,0,0,0
5190.675656,289,83521,0,0,1,0,0,0
5126.512975,290,84100,0,0,1,0,0,0
5256.135289,291,84681,0,0,1,0,0,0
5824.779869,292,85264,0,0,1,0,0,0
5994.016503,293,85849,0,0,1,0,0,0
5965.360317,294,86436,0,0,1,0,0,0
5983.511218,295,87025,0,0,1,0,0,0
6134.09142,296,87616,0,0,1,0,0,0
6362.714553,297,88209,0,0,1,0,0,0
6150.369804,298,88804,0,0,1,0,0,0
6082.786407,299,89401,0,0,1,0,0,0
5991.742496,300,90000,0,0,1,0,0,0
6275.467515,301,90601,0,0,1,0,0,0
6171.775001,302,91204,0,0,1,0,0,0
6526.366537,303,91809,0,0,1,0,0,0
6607.149977,304,92416,0,0,1,0,0,0
6613.251438,305,93025,0,0,1,0,0,0
6569.377983,306,93636,0,0,1,0,0,0
6742.079953,307,94249,0,0,1,0,0,0
6753.617676,308,94864,0,0,1,0,0,0
6857.491362,309,95481,0,0,1,0,0,0
7074.260798,310,96100,0,0,1,0,0,0
7111.874181,311,96721,0,0,1,0,0,0
7243.067552,312,97344,0,0,1,0,0,0
7318.159907,313,97969,0,0,1,0,0,0
7208.833387,314,98596,0,0,1,0,0,0
7495.291518,315,99225,0,0,1,0,0,0
7547.757614,316,99856,0,0,1,0,0,0
7970.479854,317,100489,0,0,1,0,0,0
7787.826609,318,101124,0,0,1,0,0,0
7685.712107,319,101761,0,0,1,0,0,0
7690.375153,320,102400,0,0,1,0,0,0
8188.490789,321,103041,0,0,1,0,0,0
7934.295948,322,103684,0,0,1,0,0,0
7870.868471,323,104329,0,0,1,0,0,0
8146.20416,324,104976,0,0,1,0,0,0
8180.532426,325,105625,0,0,1,0,0,0
8372.604274,326,106276,0,0,1,0,0,0
8466.407495,327,106929,0,0,1,0,0,0
8437.633882,328,107584,0,0,1,0,0,0
8367.609771,329,108241,0,0,1,0,0,0
8203.291962,330,108900,0,0,1,0,0,0
8024.370575,331,109561,0,0,1,0,0,0
7777.108659,332,110224,0,0,1,0,0,0
7754.400462,333,110889,0,0,1,0,0,0
7609.499824,334,111556,0,0,1,0,0,0
7832.00398,335,112225,0,0,1,0,0,0
7855.501869,336,112896,0,0,1,0,0,0
7845.745786,337,113569,0,0,1,0,0,0
7670.633728,338,114244,0,0,1,0,0,0
7556.111152,339,114921,0,0,1,0,0,0
7418.082652,340,115600,0,0,1,0,0,0
7529.16935,341,116281,0,0,1,0,0,0
7896.096694,342,116964,0,0,1,0,0,0
7493.063224,343,117649,0,0,1,0,0,0
7449.015187,344,118336,0,0,1,0,0,0
7383.112398,345,119025,0,0,1,0,0,0
7639.506802,346,119716,0,0,1,0,0,0
7449.686171,347,120409,0,0,1,0,0,0
7602.704562,348,121104,0,0,1,0,0,0
7790.183518,349,121801,0,0,1,0,0,0
7684.660405,350,122500,0,0,1,0,0,0
7600.04366,351,123201,0,0,1,0,0,0
7575.51087,352,123904,0,0,1,0,0,0
7500.447045,353,124609,0,0,1,0,0,0
7623.791363,354,125316,0,0,1,0,0,0
7587.174475,355,126025,0,0,1,0,0,0
7207.576949,356,126736,0,0,1,0,0,0
7691.529617,357,127449,0,0,1,0,0,0
7572.858911,358,128164,0,0,1,0,0,0
7817.424702,359,128881,0,0,1,0,0,0
7639.932858,360,129600,0,0,1,0,0,0
7404.997195,361,130321,0,0,1,0,0,0
7579.326777,362,131044,0,0,1,0,0,0
7636.943486,363,131769,0,0,1,0,0,0
7683.013173,364,132496,0,0,1,0,0,0
7662.021559,365,133225,0,0,1,0,0,0
7877.819255,366,133956,0,0,1,0,0,0
7572.278263,367,134689,0,0,1,0,0,0
7747.598426,368,135424,0,0,1,0,0,0
7788.986639,369,136161,0,0,1,0,0,0
7690.840293,370,136900,0,0,1,0,0,0
7549.023428,371,137641,0,0,1,0,0,0
7520.812984,372,138384,0,0,1,0,0,0
7749.529516,373,139129,0,0,1,0,0,0
7671.190377,374,139876,0,0,1,0,0,0
8125.526554,375,140625,0,0,1,0,0,0
8285.170772,376,141376,0,0,1,0,0,0
7666.445199,377,142129,0,0,1,0,0,0
7484.12761,378,142884,0,0,1,0,0,0
7300.43517,379,143641,0,0,1,0,0,0
7357.803235,380,144400,0,0,1,0,0,0
7357.49856,381,145161,0,0,1,0,0,0
7203.877884,382,145924,0,0,1,0,0,0
7629.384537,383,146689,0,0,1,0,0,0
7128.477846,384,147456,0,0,1,0,0,0
7200.87155,385,148225,0,0,1,0,0,0
7176.632112,386,148996,0,0,1,0,0,0
7069.82863,387,149769,0,0,1,0,0,0
6939.455449,388,150544,0,0,1,0,0,0
6722.450182,389,151321,0,0,1,0,0,0
6559.682171,390,152100,0,0,1,0,0,0
6394.253104,391,152881,0,0,1,0,0,0
6390.636537,392,153664,0,0,1,0,0,0
6324.194334,393,154449,0,0,1,0,0,0
6209.441159,394,155236,0,0,1,0,0,0
6165.689489,395,156025,0,0,1,0,0,0
6232.807345,396,156816,0,0,1,0,0,0
6228.571345,397,157609,0,0,1,0,0,0
5908.982224,398,158404,0,0,1,0,0,0
5604.577808,399,159201,0,0,1,0,0,0
5527.512983,400,160000,0,0,1,0,0,0
5370.258769,401,160801,0,0,1,0,0,0
5360.599676,402,161604,0,0,1,0,0,0
4964.354033,403,162409,0,0,1,0,0,0
4942.059195,404,163216,0,0,1,0,0,0
4703.084989,405,164025,0,0,1,0,0,0
4681.041519,406,164836,0,0,1,0,0,0
4754.15852,407,165649,0,0,1,0,0,0
4444.403403,408,166464,0,0,1,0,0,0
4718.370181,409,167281,0,0,1,0,0,0
5591.422795,410,168100,0,0,1,0,0,0
4922.184189,411,168921,0,0,1,0,0,0
4917.079925,412,169744,0,0,1,0,0,0
4787.678838,413,170569,0,0,1,0,0,0
4743.487069,414,171396,0,0,1,0,0,0
4705.083312,415,172225,0,0,1,0,0,0
4636.802817,416,173056,0,0,1,0,0,0
4536.986293,417,173889,0,0,1,0,0,0
4214.285916,418,174724,0,0,1,0,0,0
4225.41542,419,175561,0,0,1,0,0,0
4244.44801,420,176400,0,0,1,0,0,0
4247.183335,421,177241,0,0,1,0,0,0
4183.373806,422,178084,0,0,1,0,0,0
4225.952893,423,178929,0,0,1,0,0,0
4136.457874,424,179776,0,0,1,0,0,0
4025.43588,425,180625,0,0,1,0,0,0
4174.98,426,181476,0,0,1,0,0,0
4157.140866,427,182329,0,0,1,0,0,0
4147.06909,428,183184,0,0,1,0,0,0
4192.792799,429,184041,0,0,1,0,0,0
4171.368781,430,184900,0,0,1,0,0,0
4373.040021,431,185761,0,0,1,0,0,0
4005.724049,432,186624,0,0,1,0,0,0
4086.620948,433,187489,0,0,1,0,0,0
3991.06751,434,188356,0,0,1,0,0,0
3861.483709,435,189225,0,0,1,0,0,0
3866.816123,436,190096,0,0,1,0,0,0
3955.45703,437,190969,0,0,1,0,0,0
4057.432509,438,191844,0,0,1,0,0,0
4053.167494,439,192721,0,0,1,0,0,0
3971.833521,440,193600,0,0,1,0,0,0
3925.243304,441,194481,0,0,1,0,0,0
3727.992069,442,195364,0,0,1,0,0,0
3734.42852,443,196249,0,0,1,0,0,0
3643.339896,444,197136,0,0,1,0,0,0
3638.246092,445,198025,0,0,1,0,0,0
3575.434403,446,198916,0,0,1,0,0,0
3537.60546,447,199809,0,0,1,0,0,0
3537.35928,448,200704,0,0,1,0,0,0
3433.7576,449,201601,0,0,1,0,0,0
3365.056676,450,202500,0,0,1,0,0,0
3373.005665,451,203401,0,0,1,0,0,0
3495.62244,452,204304,0,0,1,0,0,0
3248.97403,453,205209,0,0,1,0,0,0
3386.610556,454,206116,0,0,1,0,0,0
3363.591768,455,207025,0,0,1,0,0,0
3180.512505,456,207936,0,0,1,0,0,0
3389.436344,457,208849,0,0,1,0,0,0
3111.481798,458,209764,0,0,1,0,0,0
2959.890949,459,210681,0,0,1,0,0,0
2813.817089,460,211600,0,0,1,0,0,0
2800.939104,461,212521,0,0,1,0,0,0
2758.415402,462,213444,0,0,1,0,0,0
2915.608301,463,214369,0,0,1,0,0,0
2645.295932,464,215296,0,0,1,0,0,0
2490.175957,465,216225,0,0,1,0,0,0
2467.613696,466,217156,0,0,1,0,0,0
2538.000213,467,218089,0,0,1,0,0,0
2611.889662,468,219024,0,0,1,0,0,0
2927.761178,469,219961,0,0,1,0,0,0
2542.556943,470,220900,0,0,1,0,0,0
2420.688595,471,221841,0,0,1,0,0,0
2360.250385,472,222784,0,0,1,0,0,0
2298.892642,473,223729,0,0,1,0,0,0
2245.640429,474,224676,0,0,1,0,0,0
2304.685634,475,225625,0,0,1,0,0,0
2234.252324,476,226576,0,0,1,0,0,0
2171.028659,477,227529,0,0,1,0,0,0
2184.796539,478,228484,0,0,1,0,0,0
2144.066676,479,229441,0,0,1,0,0,0
2278.44898,480,230400,0,0,1,0,0,0
2377.24434,481,231361,0,0,1,0,0,0
2146.292416,482,232324,0,0,1,0,0,0
2131.630175,483,233289,0,0,1,0,0,0
2066.553106,484,234256,0,0,1,0,0,0
2266.775853,485,235225,0,0,1,0,0,0
2364.478901,486,236196,0,0,1,0,0,0
2299.417518,487,237169,0,0,1,0,0,0
2121.105382,488,238144,0,0,1,0,0,0
1744.896078,489,239121,0,0,1,0,0,0
1758.885629,490,240100,0,0,1,0,0,0
1743.515468,491,241081,0,0,1,0,0,0
1917.418102,492,242064,0,0,1,0,0,0
1890.448217,493,243049,0,0,0,1,0,0
1852.90346,494,244036,0,0,0,1,0,0
1858.948247,495,245025,0,0,0,1,0,0
1822.512261,496,246016,0,0,0,1,0,0
1818.155264,497,247009,0,0,0,1,0,0
1906.051079,498,248004,0,0,0,1,0,0
1933.967169,499,249001,0,0,0,1,0,0
1793.654074,500,250000,0,0,0,1,0,0
1686.083864,501,251001,0,0,0,1,0,0
1712.380806,502,252004,0,0,0,1,0,0
1749.792821,503,253009,0,0,0,1,0,0
1868.82067,504,254016,0,0,0,1,0,0
1699.904914,505,255025,0,0,0,1,0,0
1721.010483,506,256036,0,0,0,1,0,0
1717.039917,507,257049,0,0,0,1,0,0
1742.508931,508,258064,0,0,0,1,0,0
1663.583725,509,259081,0,0,0,1,0,0
1776.916253,510,260100,0,0,0,1,0,0
1723.292151,511,261121,0,0,0,1,0,0
1660.695089,512,262144,0,0,0,1,0,0
1596.729108,513,263169,0,0,0,1,0,0
1622.199038,514,264196,0,0,0,1,0,0
1656.53445,515,265225,0,0,0,1,0,0
1764.029559,516,266256,0,0,0,1,0,0
1673.219248,517,267289,0,0,0,1,0,0
1634.36463,518,268324,0,0,0,1,0,0
1676.337091,519,269361,0,0,0,1,0,0
1568.064114,520,270400,0,0,0,1,0,0
1598.472851,521,271441,0,0,0,1,0,0
1749.662673,522,272484,0,0,0,1,0,0
1651.504479,523,273529,0,0,0,1,0,0
1600.304377,524,274576,0,0,0,1,0,0
1600.993806,525,275625,0,0,0,1,0,0
1598.880695,526,276676,0,0,0,1,0,0
1587.895043,527,277729,0,0,0,1,0,0
1818.2238,528,278784,0,0,0,1,0,0
1650.463219,529,279841,0,0,0,1,0,0
1617.521611,530,280900,0,0,0,1,0,0
1700.692639,531,281961,0,0,0,1,0,0
1631.253009,532,283024,0,0,0,1,0,0
1664.407701,533,284089,0,0,0,1,0,0
1751.947662,534,285156,0,0,0,1,0,0
1554.95831,535,286225,0,0,0,1,0,0
1491.35971,536,287296,0,0,0,1,0,0
1514.41749,537,288369,0,0,0,1,0,0
1563.769407,538,289444,0,0,0,1,0,0
1583.983976,539,290521,0,0,0,1,0,0
1863.897883,540,291600,0,0,0,1,0,0
1545.35702,541,292681,0,0,0,1,0,0
1560.21286,542,293764,0,0,0,1,0,0
1546.619707,543,294849,0,0,0,1,0,0
1588.784465,544,295936,0,0,0,1,0,0
1699.029301,545,297025,0,0,0,1,0,0
1720.281611,546,298116,0,0,0,1,0,0
1863.255414,547,299209,0,0,0,1,0,0
1750.905936,548,300304,0,0,0,1,0,0
1828.337839,549,301401,0,0,0,1,0,0
1843.65427,550,302500,0,0,0,1,0,0
2105.475588,551,303601,0,0,0,1,0,0
2298.814437,552,304704,0,0,0,1,0,0
2297.052248,553,305809,0,0,0,1,0,0
2437.482401,554,306916,0,0,0,1,0,0
2432.133664,555,308025,0,0,0,1,0,0
2526.642799,556,309136,0,0,0,1,0,0
2682.154847,557,310249,0,0,0,1,0,0
2793.653719,558,311364,0,0,0,1,0,0
2882.858302,559,312481,0,0,0,1,0,0
2912.165435,560,313600,0,0,0,1,0,0
3082.359242,561,314721,0,0,0,1,0,0
3286.118692,562,315844,0,0,0,1,0,0
3654.751136,563,316969,0,0,0,1,0,0
3978.073153,564,318096,0,0,0,1,0,0
4087.884056,565,319225,0,0,0,1,0,0
4066.668149,566,320356,0,0,0,1,0,0
4126.857073,567,321489,0,0,0,1,0,0
4295.606794,568,322624,0,0,0,1,0,0
4553.782306,569,323761,0,0,0,1,0,0
4668.600234,570,324900,0,0,0,1,0,0
4973.181105,571,326041,0,0,0,1,0,0
5042.77638,572,327184,0,0,0,1,0,0
5133.563502,573,328329,0,0,0,1,0,0
5467.915938,574,329476,0,0,0,1,0,0
5939.877993,575,330625,0,0,0,1,0,0
6040.643374,576,331776,0,0,0,1,0,0
6290.777264,577,332929,0,0,0,1,0,0
6662.998468,578,334084,0,0,0,1,0,0
6690.785097,579,335241,0,0,0,1,0,0
6484.899992,580,336400,0,0,0,1,0,0
6359.260404,581,337561,0,0,0,1,0,0
6800.682733,582,338724,0,0,0,1,0,0
6668.964347,583,339889,0,0,0,1,0,0
6295.949739,584,341056,0,0,0,1,0,0
6396.470869,585,342225,0,0,0,1,0,0
6613.455435,586,343396,0,0,0,1,0,0
6923.345832,587,344569,0,0,0,1,0,0
7010.634562,588,345744,0,0,0,1,0,0
7289.890016,589,346921,0,0,0,1,0,0
7292.598839,590,348100,0,0,0,1,0,0
7049.853827,591,349281,0,0,0,1,0,0
6942.064453,592,350464,0,0,0,1,0,0
7114.536725,593,351649,0,0,0,1,0,0
7168.66177,594,352836,0,0,0,1,0,0
7475.271812,595,354025,0,0,0,1,0,0
7809.258402,596,355216,0,0,0,1,0,0
8077.040173,597,356409,0,0,0,1,0,0
7559.866526,598,357604,0,0,0,1,0,0
8204.726796,599,358801,0,0,0,1,0,0
7742.964739,600,360000,0,0,0,1,0,0
7655.016212,601,361201,0,0,0,1,0,0
7721.560199,602,362404,0,0,0,1,0,0
7569.752171,603,363609,0,0,0,1,0,0
7486.06142,604,364816,0,0,0,1,0,0
7731.718983,605,366025,0,0,0,1,0,0
