MB,t,tsq,Day of Week_1,Day of Week_2,Day of Week_3,Day of Week_4,Day of Week_5,Day of Week_6,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15
6438.472853,19,361,0,1,0,0,0,0,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581,3876.354871
6593.321117,20,400,0,1,0,0,0,0,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869,4582.542581
6386.798311,21,441,0,1,0,0,0,0,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642,5016.336869
6402.829429,22,484,0,1,0,0,0,0,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985,5202.513642
6448.640206,23,529,0,1,0,0,0,0,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132,5410.604985
6758.012799,24,576,0,1,0,0,0,0,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888,5408.07132
6897.537181,25,625,0,1,0,0,0,0,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974,5598.04888
6625.683956,26,676,0,1,0,0,0,0,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591,5268.183974
6786.593033,27,729,0,1,0,0,0,0,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558,5205.96591
6741.090851,28,784,0,1,0,0,0,0,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752,5554.284558
6857.892154,29,841,0,1,0,0,0,0,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311,6071.804752
6885.633911,30,900,0,1,0,0,0,0,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096,6533.409311
7036.186201,31,961,0,1,0,0,0,0,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291,6432.612096
7182.820092,32,1024,0,1,0,0,0,0,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245,6422.634291
6897.783063,33,1089,0,1,0,0,0,0,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853,6413.343245
6802.926206,34,1156,0,1,0,0,0,0,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117,6438.472853
6856.304069,35,1225,0,1,0,0,0,0,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311,6593.321117
6963.587768,36,1296,0,1,0,0,0,0,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429,6386.798311
7283.56523,37,1369,0,1,0,0,0,0,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206,6402.829429
7294.355973,38,1444,0,1,0,0,0,0,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799,6448.640206
7277.773691,39,1521,0,1,0,0,0,0,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181,6758.012799
7327.652118,40,1600,0,1,0,0,0,0,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956,6897.537181
7411.935065,41,1681,0,1,0,0,0,0,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033,6625.683956
7559.621824,42,1764,0,1,0,0,0,0,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851,6786.593033
7464.144357,43,1849,0,1,0,0,0,0,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154,6741.090851
7556.335967,44,1936,0,1,0,0,0,0,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911,6857.892154
7531.158925,45,2025,0,1,0,0,0,0,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201,6885.633911
7451.588318,46,2116,0,1,0,0,0,0,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092,7036.186201
7251.552599,47,2209,0,1,0,0,0,0,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063,7182.820092
7387.311025,48,2304,0,1,0,0,0,0,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206,6897.783063
7534.902212,49,2401,0,1,0,0,0,0,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069,6802.926206
7669.462738,50,2500,0,1,0,0,0,0,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768,6856.304069
7806.347806,51,2601,0,1,0,0,0,0,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523,6963.587768
7633.844064,52,2704,0,1,0,0,0,0,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973,7283.56523
7666.925195,53,2809,0,1,0,0,0,0,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691,7294.355973
7520.164584,54,2916,0,1,0,0,0,0,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118,7277.773691
7501.747391,55,3025,0,1,0,0,0,0,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065,7327.652118
7767.857531,56,3136,0,1,0,0,0,0,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824,7411.935065
7232.609101,57,3249,0,1,0,0,0,0,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357,7559.621824
7274.338276,58,3364,0,1,0,0,0,0,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967,7464.144357
7408.981176,59,3481,0,1,0,0,0,0,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925,7556.335967
7230.742271,60,3600,0,1,0,0,0,0,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318,7531.158925
7354.167649,61,3721,0,1,0,0,0,0,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599,7451.588318
7107.897687,62,3844,0,1,0,0,0,0,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025,7251.552599
7295.721127,63,3969,0,1,0,0,0,0,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212,7387.311025
7080.999121,64,4096,0,1,0,0,0,0,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738,7534.902212
7606.453644,65,4225,0,1,0,0,0,0,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806,7669.462738
7642.015997,66,4356,0,1,0,0,0,0,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064,7806.347806
7848.884725,67,4489,0,1,0,0,0,0,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195,7633.844064
7724.196995,68,4624,0,1,0,0,0,0,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584,7666.925195
7650.962743,69,4761,0,1,0,0,0,0,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391,7520.164584
7753.904748,70,4900,0,1,0,0,0,0,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531,7501.747391
7744.009419,71,5041,0,1,0,0,0,0,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101,7767.857531
7336.903262,72,5184,0,1,0,0,0,0,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276,7232.609101
7485.654677,73,5329,0,1,0,0,0,0,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176,7274.338276
7513.611244,74,5476,0,1,0,0,0,0,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271,7408.981176
7644.185813,75,5625,0,1,0,0,0,0,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649,7230.742271
7414.962086,76,5776,0,1,0,0,0,0,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687,7354.167649
7514.644125,77,5929,0,1,0,0,0,0,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127,7107.897687
7445.178236,78,6084,0,1,0,0,0,0,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121,7295.721127
7294.385873,79,6241,0,1,0,0,0,0,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644,7080.999121
7233.354647,80,6400,0,1,0,0,0,0,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997,7606.453644
7332.941859,81,6561,0,1,0,0,0,0,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725,7642.015997
7513.492139,82,6724,0,1,0,0,0,0,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995,7848.884725
7528.727688,83,6889,0,1,0,0,0,0,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743,7724.196995
8536.272286,84,7056,0,1,0,0,0,0,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748,7650.962743
7724.842582,85,7225,0,1,0,0,0,0,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419,7753.904748
7599.001549,86,7396,0,1,0,0,0,0,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262,7744.009419
7348.468015,87,7569,0,1,0,0,0,0,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677,7336.903262
7326.3272,88,7744,0,1,0,0,0,0,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244,7485.654677
7639.50667,89,7921,0,1,0,0,0,0,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813,7513.611244
7802.449354,90,8100,0,1,0,0,0,0,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086,7644.185813
7485.672218,91,8281,0,1,0,0,0,0,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125,7414.962086
7354.957743,92,8464,0,1,0,0,0,0,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236,7514.644125
7497.015314,93,8649,0,1,0,0,0,0,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873,7445.178236
7235.630142,94,8836,0,1,0,0,0,0,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647,7294.385873
7434.386233,95,9025,0,1,0,0,0,0,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859,7233.354647
7519.403839,96,9216,0,1,0,0,0,0,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139,7332.941859
7403.087775,97,9409,0,1,0,0,0,0,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688,7513.492139
7366.791574,98,9604,0,1,0,0,0,0,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286,7528.727688
7577.678754,99,9801,0,1,0,0,0,0,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582,8536.272286
7326.68721,100,10000,0,1,0,0,0,0,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549,7724.842582
7259.778835,101,10201,0,1,0,0,0,0,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015,7599.001549
7499.146875,102,10404,0,1,0,0,0,0,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272,7348.468015
7530.74579,103,10609,0,1,0,0,0,0,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667,7326.3272
7054.149566,104,10816,0,1,0,0,0,0,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354,7639.50667
7134.469847,105,11025,0,1,0,0,0,0,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218,7802.449354
7081.949563,106,11236,0,1,0,0,0,0,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743,7485.672218
6953.665837,107,11449,0,1,0,0,0,0,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314,7354.957743
7023.590624,108,11664,0,1,0,0,0,0,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142,7497.015314
6759.900139,109,11881,0,1,0,0,0,0,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233,7235.630142
6530.131152,110,12100,0,1,0,0,0,0,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839,7434.386233
6447.105457,111,12321,0,1,0,0,0,0,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775,7519.403839
6330.514608,112,12544,0,1,0,0,0,0,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574,7403.087775
6331.684427,113,12769,0,1,0,0,0,0,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754,7366.791574
6223.271197,114,12996,0,1,0,0,0,0,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721,7577.678754
6202.872405,115,13225,0,1,0,0,0,0,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835,7326.68721
5914.776765,116,13456,0,1,0,0,0,0,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875,7259.778835
5917.454777,117,13689,0,1,0,0,0,0,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579,7499.146875
5921.237644,118,13924,0,1,0,0,0,0,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566,7530.74579
5640.499083,119,14161,0,1,0,0,0,0,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847,7054.149566
5391.187185,120,14400,0,1,0,0,0,0,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563,7134.469847
5349.731374,121,14641,0,1,0,0,0,0,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837,7081.949563
5306.831763,122,14884,0,1,0,0,0,0,5349.731374,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624,6953.665837
4924.258813,123,15129,0,1,0,0,0,0,5306.831763,5349.731374,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139,7023.590624
4870.140499,124,15376,0,1,0,0,0,0,4924.258813,5306.831763,5349.731374,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152,6759.900139
5051.888264,125,15625,0,1,0,0,0,0,4870.140499,4924.258813,5306.831763,5349.731374,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457,6530.131152
4936.297774,126,15876,0,1,0,0,0,0,5051.888264,4870.140499,4924.258813,5306.831763,5349.731374,5391.187185,5640.499083,5921.237644,5917.454777,5914.776765,6202.872405,6223.271197,6331.684427,6330.514608,6447.105457
